ID,x,y,z,yaw,pitch,roll
1,1716.97,1014.64,0,-2.2008,-0.0549874,0.00184032
2,1716.97,1014.64,0,-2.2008,-0.0549874,0.00184032
3,1716.9,1014.36,0,-2.19875,-0.0396114,-0.00310626
4,1716.76,1014.14,0,-2.19874,-0.0311023,-0.0045127
5,1716.51,1013.88,0,-2.19963,-0.0257124,-0.00450686
6,1716.31,1013.59,0,-2.19982,-0.0199816,-0.00522145
7,1716.16,1013.35,0,-2.20061,-0.015176,-0.00701389
8,1715.98,1013.04,0,-2.20147,-0.0116647,-0.00766924
9,1715.84,1012.85,0,-2.20297,-0.00983675,-0.00780737
10,1715.6,1012.49,0,-2.20385,-0.0105186,-0.00670727
11,1715.34,1012.12,0,-2.20432,-0.011861,-0.00525369
12,1715.22,1011.99,0,-2.20581,-0.0127653,-0.00363074
13,1714.92,1011.56,0,-2.20696,-0.0148726,-5.98542E-05
14,1714.75,1011.26,0,-2.20789,-0.0169192,0.00258427
15,1714.5,1010.91,0,-2.20838,-0.0188344,0.00471471
16,1714.23,1010.64,0,-2.2087,-0.0206721,0.0055843
17,1714.08,1010.33,0,-2.20955,-0.0217519,0.00641759
18,1713.92,1010.12,0,-2.21096,-0.0225132,0.00671166
19,1713.65,1009.83,0,-2.21132,-0.023553,0.00723992
20,1713.41,1009.53,0,-2.21166,-0.0248381,0.00765395
21,1713.32,1009.29,0,-2.21276,-0.0259588,0.00792642
22,1713.15,1009.03,0,-2.21342,-0.0267702,0.00800047
23,1712.89,1008.68,0,-2.21366,-0.0272105,0.00774531
24,1712.64,1008.45,0,-2.21382,-0.0270618,0.00808781
25,1712.43,1008.27,0,-2.21418,-0.0269132,0.0076149
26,1712.32,1008.05,0,-2.21517,-0.0263925,0.00705528
27,1712.02,1007.7,0,-2.21534,-0.0263521,0.00669044
28,1711.8,1007.48,0,-2.21543,-0.0266081,0.0065538
29,1711.67,1007.23,0,-2.21562,-0.0269609,0.00651501
30,1711.53,1006.97,0,-2.21609,-0.0278144,0.00628254
31,1711.2,1006.65,0,-2.21564,-0.0284149,0.00496183
32,1711.03,1006.38,0,-2.21523,-0.0288886,0.00439024
33,1710.86,1006.15,0,-2.21505,-0.0292993,0.00325785
34,1710.69,1005.92,0,-2.21482,-0.029505,0.00219044
35,1710.51,1005.7,0,-2.21448,-0.0294809,0.00126404
36,1710.37,1005.49,0,-2.21445,-0.0292599,0.000646351
37,1710.09,1005.11,0,-2.21251,-0.0300287,0.000823049
38,1709.94,1004.83,0,-2.21121,-0.0304374,0.000825374
39,1709.76,1004.59,0,-2.20967,-0.0307916,0.00156804
40,1709.56,1004.36,0,-2.20766,-0.0284311,0.0026073
41,1709.5,1004.22,0,-2.2076,-0.0285213,0.00261023
42,1709.51,1004.39,0,-2.2015,-0.0248704,0.00264147
43,1709.2,1004.08,0,-2.20157,-0.0251972,0.00263387
44,1708.78,1003.31,0,-2.19801,-0.0243276,0.00261694
45,1708.67,1003.26,0,-2.19812,-0.0244022,0.00260918
46,1708.43,1003.15,0,-2.19846,-0.0243709,0.00259074
47,1708.19,1002.55,0,-2.19395,-0.0291862,-0.017645
48,1708.1,1002.43,0,-2.19388,-0.0294773,-0.0177159
49,1707.67,1001.75,0,-1.94776,-0.0311612,-0.0209372
50,1707.57,1001.61,0,-1.97814,-0.0314571,-0.0168191
51,1707.57,1001.32,0,-1.90328,-0.0383545,-0.0196213
52,1707.19,1001.02,0,-1.95547,0.0233443,-0.0148185
53,1707.01,1000.79,0,-1.96902,-0.031365,-0.0170642
54,1706.95,1000.6,0,-1.90881,-0.0341951,-0.0192125
55,1706.53,1000.03,0,-1.94825,-0.0426923,-0.0183968
56,1706.37,999.931,0,-1.81654,-0.0368426,-0.0228408
57,1707.11,1000.09,0,-1.81934,-0.00613964,-0.0295699
58,1706.9,999.938,0,-1.76598,-0.0106811,-0.0306728
59,1706.64,999.499,0,-1.68337,-0.0327117,-0.0360455
60,1706.05,999.059,0,-1.84276,-0.0432019,-0.0228072
61,1705.99,998.82,0,-1.77146,-0.0470037,-0.0264433
62,1706.67,999.124,0,-1.81126,-0.00448183,-0.0348238
63,1706.55,998.818,0,-1.74622,-0.0127022,-0.0365305
64,1706.12,998.596,0,-1.69972,-0.0274015,-0.0404199
65,1706.12,998.281,0,-1.60727,-0.0529347,-0.0474895
66,1705.48,998.401,0,-1.83351,-0.025902,-0.0480116
67,1705.22,998.127,0,-1.8078,-0.0216386,-0.0486452
68,1703.62,998.173,0,-1.9856,0.0151093,-0.0726227
69,1703.46,998.01,0,-2.00156,-0.0299289,-0.119072
70,1703.49,997.634,0,-1.93436,-0.0235371,-0.120687
71,1703.28,996.65,0,-1.95121,0.00124953,-0.151944
72,1703.16,996.332,0,-1.97355,-0.0102148,-0.151978
73,1703.12,996.052,0,-1.91002,-0.0112792,-0.15335
74,1703.07,995.729,0,-1.85421,-0.019457,-0.155509
75,1702.6,995.334,0,-1.9667,0.0253576,-0.171641
76,1702.58,995.029,0,-1.96224,0.0130236,-0.171846
77,1702.74,995.126,0,-2.00139,-0.0347741,-0.169975
78,1702.55,994.872,0,-2.02014,-0.0329437,-0.170446
79,1702.49,994.672,0,-2.01601,-0.051888,-0.171354
80,1703.05,995.14,0,-2.04454,-0.0953826,-0.126073
81,1702.82,994.751,0,-2.04543,-0.0862767,-0.125977
82,1702.75,993.093,0,-2.03722,-0.0428594,-0.0843726
83,1702.54,992.975,0,-2.04585,-0.0508277,-0.0845158
84,1701.93,992.872,0,-2.10633,-0.0615571,-0.0582053
85,1701.8,992.533,0,-2.10124,-0.0623167,-0.0579781
86,1701.26,992.004,0,-2.12186,-0.0379297,-0.0403818
