ID,x,y,z,yaw,pitch,roll
1,-285.181,226.114,-14.9746,2.4417,-0.041128,0.0385924
2,-284.837,226.1,-15.0959,2.44855,-0.0370754,0.0230717
3,-284.879,226.344,-15.116,2.45216,-0.0307063,-0.00239404
4,-284.953,226.381,-15.0526,2.45216,-0.030706,-0.00239633
5,-285.523,226.679,-15.138,2.45347,-0.0321838,0.00274634
6,-285.522,226.866,-14.9557,2.45346,-0.0321883,0.00274504
7,-284.722,226.19,-15.1015,2.44825,-0.0309477,0.0029958
8,-284.912,226.302,-14.7321,2.44824,-0.0309386,0.00299405
9,-284.793,226.067,-15.1086,2.44529,-0.0298961,0.00388444
10,-284.897,226.308,-14.854,2.44528,-0.0298845,0.00388699
11,-285.391,226.538,-14.5562,2.44525,-0.0298612,0.00388642
12,-286.942,228.068,-14.9445,2.45072,-0.0332372,-0.00114174
13,-287.141,228.464,-15.056,2.45344,-0.0349155,-0.0187156
14,-287.339,228.601,-15.0146,2.45478,-0.0363393,-0.0287132
15,-287.554,228.793,-15.0227,2.45594,-0.0371129,-0.0351232
16,-287.731,228.979,-14.9667,2.45696,-0.0368356,-0.0417274
17,-287.858,229.153,-14.9488,2.45768,-0.0363967,-0.0468069
18,-287.946,229.292,-14.929,2.45826,-0.0352656,-0.0501349
19,-288.171,229.438,-14.9765,2.45885,-0.034358,-0.0512218
20,-288.319,229.585,-14.964,2.45937,-0.0332556,-0.0513301
21,-288.463,229.68,-14.9885,2.46012,-0.0323415,-0.0523673
22,-288.697,229.893,-15.0126,2.46087,-0.0317308,-0.052761
23,-288.876,229.991,-15.0064,2.46106,-0.0311563,-0.0525207
24,-289.023,230.137,-14.971,2.46096,-0.0304511,-0.0517039
25,-288.854,230.193,-14.7424,2.46081,-0.0307271,-0.0518783
26,-289.558,230.53,-14.8193,2.46129,-0.0345272,-0.0351938
27,-289.518,230.525,-14.5064,2.46131,-0.0351372,-0.0352701
28,-289.849,230.419,-14.1391,2.46224,-0.0360252,-0.0354683
29,-290.063,230.906,-14.8504,2.46268,-0.0377685,-0.0200605
30,-290.05,230.8,-14.6405,2.46296,-0.0384149,-0.0200399
31,-290.286,230.93,-14.8563,2.46561,-0.0389188,-0.015797
32,-290.217,231.056,-14.5421,2.46523,-0.0399074,-0.0157382
33,-290.599,231.112,-12.9168,2.46422,-0.0263535,0.0159706
34,-290.7,231.231,-12.8522,2.46416,-0.026167,0.0162441
35,-290.848,231.277,-12.6392,2.46165,-0.0198152,0.0283102
36,-290.779,231.313,-12.5953,2.46139,-0.0200294,0.0286947
37,-290.946,231.515,-14.4978,2.4608,-0.0221949,0.00480487
38,-290.967,231.444,-14.3371,2.46113,-0.0228319,0.00490262
39,-291.757,232.136,-14.7989,2.45718,-0.0313004,-0.00201784
40,-291.644,232.192,-14.6443,2.45647,-0.0321477,-0.00198843
41,-291.332,231.867,-14.8848,2.46004,-0.0345726,-0.00515568
42,-291.466,232.187,-14.9982,2.45925,-0.0364372,-0.0207745
43,-291.446,232.203,-14.8063,2.45913,-0.0374559,-0.0209116
44,-291.578,232.156,-14.9646,2.46356,-0.0367925,-0.0129712
45,-291.822,232.495,-15.0955,2.46184,-0.0368327,-0.0227087
46,-291.927,232.655,-15.0685,2.4613,-0.0365719,-0.0292733
47,-291.965,232.65,-14.9212,2.46153,-0.0375224,-0.0294206
48,-292.472,232.806,-14.6858,2.46376,-0.0420893,-0.0115822
49,-292.614,232.798,-14.5269,2.46466,-0.0434726,-0.0114938
50,-292.532,232.838,-14.8298,2.4636,-0.0396182,-0.00569615
51,-292.643,233.119,-15.0061,2.46048,-0.0390631,-0.0136804
52,-292.733,233.19,-14.5201,2.46056,-0.0432263,-0.0138227
53,-293.004,233.118,-12.9599,2.46019,-0.0297504,0.0175914
54,-292.94,233.317,-13.0443,2.45839,-0.028722,0.0183251
55,-293.106,233.303,-12.9626,2.45992,-0.028841,0.0181413
56,-293.453,233.471,-12.7146,2.46164,-0.0293603,0.0178364
57,-293.651,233.64,-12.727,2.46194,-0.0156928,0.0334468
58,-293.616,233.687,-12.765,2.46108,-0.0150436,0.0341588
59,-293.771,233.772,-12.7357,2.46095,-0.00780465,0.0380911
60,-293.845,233.801,-12.7339,2.46131,-0.00718287,0.03823
61,-293.701,233.651,-14.5357,2.46834,-0.000862298,0.0163598
62,-293.777,233.665,-14.5055,2.46894,-0.00105192,0.0166171
63,-294.254,234.013,-14.9752,2.47597,-0.0124089,0.00643421
64,-294.303,234.248,-14.7676,2.47377,-0.0158903,0.00601343
65,-294.303,234.42,-14.8062,2.47267,-0.0259248,-0.000916474
66,-294.479,234.754,-14.9057,2.4666,-0.0328205,-0.0111891
67,-294.648,235.015,-14.9188,2.46361,-0.0380999,-0.0178884
68,-294.774,235.124,-14.9252,2.46247,-0.0415989,-0.0219784
69,-294.92,235.256,-14.9727,2.46145,-0.0447768,-0.0245762
70,-294.789,235.224,-14.8325,2.4603,-0.046708,-0.0251853
71,-295.049,235.252,-14.459,2.46387,-0.0548631,-0.0257471
72,-294.802,235.52,-14.5182,2.45338,-0.0535838,-0.0271011
73,-295.382,235.569,-14.6725,2.46683,-0.0455535,-0.0146834
74,-295.663,235.844,-14.5975,2.46294,-0.0480191,-0.0129486
75,-295.839,235.924,-14.5288,2.46131,-0.0499339,-0.0118253
76,-295.957,236.074,-14.4399,2.45934,-0.051396,-0.0106055
77,-296.078,236.166,-14.4001,2.45799,-0.0525954,-0.00933047
78,-296.287,236.281,-14.342,2.45703,-0.0542469,-0.0066158
79,-296.481,236.352,-14.1345,2.45644,-0.0560926,-0.00238253
80,-296.586,236.363,-13.0578,2.45625,-0.0512955,0.0165243
81,-296.696,236.485,-12.8596,2.45527,-0.0354604,0.027604
82,-296.831,236.514,-12.7764,2.45547,-0.0230376,0.0348631
83,-297.001,236.721,-12.7485,2.4545,-0.0140282,0.0401837
84,-297.168,236.778,-12.8369,2.45473,-0.00784657,0.0430399
85,-297.311,236.93,-12.8136,2.45381,-0.0050624,0.0450293
