ID,x,y,z,yaw,pitch,roll
1,1717.02,1014.78,0,-2.19344,-0.0616476,-0.00445466
2,1716.94,1014.53,0,-2.19441,-0.0515999,-0.0049244
3,1716.91,1014.35,0,-2.19553,-0.0421147,-0.00441415
4,1716.77,1014.14,0,-2.1967,-0.0339268,-0.0044682
5,1716.52,1013.89,0,-2.19827,-0.0278702,-0.00407479
6,1716.31,1013.59,0,-2.19881,-0.0216262,-0.00476069
7,1716.15,1013.34,0,-2.19986,-0.0164533,-0.00657155
8,1715.99,1013.05,0,-2.20109,-0.0125698,-0.00735383
9,1715.84,1012.85,0,-2.20281,-0.0105776,-0.00757439
10,1715.63,1012.52,0,-2.20398,-0.0109554,-0.00663797
11,1715.39,1012.18,0,-2.20487,-0.0119345,-0.00542431
12,1715.26,1012.03,0,-2.20656,-0.0125777,-0.00364993
13,1715.07,1011.76,0,-2.20883,-0.0130157,-0.00135617
14,1715.03,1011.67,0,-2.20884,-0.013021,-0.00135255
15,1714.65,1011.04,0,-2.21036,-0.019021,0.00461016
16,1714.27,1010.68,0,-2.2101,-0.0210373,0.00568116
17,1714.06,1010.31,0,-2.21017,-0.0223472,0.00665248
18,1713.92,1010.11,0,-2.21122,-0.0229929,0.00688869
19,1713.65,1009.83,0,-2.2115,-0.0238985,0.00735159
20,1713.41,1009.53,0,-2.21178,-0.0250911,0.00774272
21,1713.32,1009.29,0,-2.21285,-0.0261193,0.00799028
22,1713.15,1009.03,0,-2.21348,-0.0268752,0.00805256
23,1712.91,1008.7,0,-2.21383,-0.0272201,0.00775711
24,1712.65,1008.46,0,-2.21402,-0.0270364,0.0080613
25,1712.46,1008.3,0,-2.21445,-0.0266619,0.00766707
26,1712.25,1007.96,0,-2.2145,-0.026278,0.00694989
27,1712,1007.67,0,-2.21476,-0.0262655,0.00660824
28,1711.79,1007.46,0,-2.215,-0.0265662,0.00651663
29,1711.67,1007.22,0,-2.21531,-0.0269381,0.00649734
30,1711.51,1006.95,0,-2.21571,-0.0278793,0.00617233
31,1711.2,1006.65,0,-2.21538,-0.0284579,0.00488965
32,1711.04,1006.38,0,-2.21507,-0.0289199,0.00431497
33,1710.86,1006.16,0,-2.21497,-0.0293019,0.00322929
34,1710.7,1005.93,0,-2.21478,-0.0295096,0.00223858
35,1710.51,1005.7,0,-2.21447,-0.0294777,0.00130756
36,1710.32,1005.42,0,-2.21391,-0.0294926,0.000891998
37,1710.19,1005.28,0,-2.21395,-0.0296743,0.000887117
38,1709.87,1003.8,0,-2.20183,-0.032815,0.00681585
39,1709.76,1003.72,0,-2.20188,-0.0330184,0.00683237
40,1709.61,1004.2,0,-2.20297,-0.0274569,0.010584
41,1709.49,1004.12,0,-2.20295,-0.0234819,0.0115929
42,1709.33,1004.13,0,-2.20316,-0.0238926,0.011638
43,1708.78,1003.32,0,-2.19925,-0.0231692,0.0109483
44,1708.73,1003.17,0,-2.19726,-0.0221893,0.011472
45,1708.62,1003.13,0,-2.19737,-0.0222691,0.0114874
46,1708.19,1002.56,0,-2.19382,-0.0263791,0.00265067
47,1708.17,1002.48,0,-2.19363,-0.026527,0.00264924
48,1707.82,1001.92,0,-2.18882,-0.0303392,-1.42594E-05
49,1707.58,1001.6,0,-1.90298,-0.032218,-0.00742109
50,1707.63,1001.6,0,-1.93989,-0.0254917,-0.00205907
51,1707.64,1001.36,0,-1.88162,-0.032738,-0.00393578
52,1707.25,1001.03,0,-1.94254,-0.0243836,-0.00691593
53,1707.11,1000.86,0,-1.97001,-0.0268266,-0.0057679
54,1707.02,1000.63,0,-1.90098,-0.0290629,-0.0077381
55,1706.58,1000.04,0,-1.94484,-0.0258845,-0.00352598
56,1706.42,999.94,0,-1.81351,-0.0213395,-0.00659959
57,1706.7,1000.1,0,-1.84523,-0.0170036,0.000838252
58,1706.52,999.967,0,-1.79795,-0.0200567,-0.000320329
59,1706.31,999.53,0,-1.71062,-0.0382531,-0.00509297
60,1706.09,999.098,0,-1.83792,-0.0213037,0.00752543
61,1706.03,998.842,0,-1.76194,-0.0269332,0.00540992
62,1706.05,998.984,0,-1.84527,-0.0146366,0.0143204
63,1705.98,998.714,0,-1.78448,-0.0222217,0.0127354
64,1705.48,998.354,0,-1.88353,-0.025528,0.00795353
65,1705.48,998.163,0,-1.81766,-0.0336623,0.00580474
66,1705.34,998.098,0,-1.88144,-0.0228774,0.00512224
67,1705.11,997.874,0,-1.8585,-0.0187215,0.00517544
68,1704.74,997.277,0,-1.92206,-0.0246347,-0.00210112
69,1704.72,996.946,0,-1.86754,-0.0259102,-0.00317454
70,1704.88,996.391,0,-1.90195,-0.0217703,-0.000202
71,1704.66,996.157,0,-1.86104,-0.0255718,-0.00147523
72,1704.33,995.761,0,-1.90162,-0.0394875,-0.00168908
73,1704.15,996.107,0,-1.97181,-0.0333713,-0.00163973
74,1704,995.871,0,-1.93657,-0.037491,-0.00297457
75,1703.28,995.022,0,-1.99165,-0.030817,-0.00789081
76,1703.2,994.756,0,-1.99432,-0.0349907,-0.0076207
77,1703.19,994.747,0,-2.01823,-0.0324215,-0.00566301
78,1703.1,994.677,0,-2.06664,-0.0297272,-0.00152497
79,1702.99,994.532,0,-2.06806,-0.0346312,-0.00139199
80,1703.11,994.65,0,-2.08646,-0.0344812,0.00356527
