ID,x,y,z,yaw,pitch,roll
1,1773.58,866.561,0,0.0207543,-0.0379449,-0.0186765
2,1773.51,866.482,0,0.021035,-0.0365878,-0.0193214
3,1773.47,866.447,0,0.021035,-0.0365878,-0.0193214
4,1774.2,866.611,0,0.0232785,-0.0349373,-0.0179112
5,1774.33,866.534,0,0.023999,-0.0329629,-0.0167433
6,1774.37,866.49,0,0.023999,-0.0329626,-0.0167431
7,1774.21,866.46,0,0.023999,-0.032962,-0.0167429
8,1774.18,866.455,0,0.0239992,-0.0329607,-0.0167425
9,1774.32,866.122,0,0.0239975,-0.03296,-0.0167436
10,1775.06,866.634,0,0.0245538,-0.0322539,-0.011186
11,1775.2,866.602,0,0.0247641,-0.031093,-0.00979664
12,1775.36,866.563,0,0.0247624,-0.0310914,-0.00979411
13,1775.64,866.341,0,0.0247492,-0.0310889,-0.00979061
14,1775.91,866.4,0,0.0247564,-0.0310785,-0.00978653
15,1777.21,866.649,0,0.0247993,-0.0348066,-0.0117726
16,1777.51,866.617,0,0.0241523,-0.0352163,-0.0131417
17,1777.61,866.637,0,0.0241555,-0.0352397,-0.0131411
18,1778.08,866.653,0,0.024375,-0.0342055,-0.0161359
19,1778.25,866.594,0,0.0247391,-0.0327052,-0.0180684
20,1778.32,866.681,0,0.024763,-0.0327129,-0.0180729
21,1778.3,866.674,0,0.0247625,-0.0327431,-0.018079
22,1778.86,866.653,0,0.024746,-0.0326765,-0.0180862
23,1778.72,866.615,0,0.026457,-0.0286788,-0.018932
24,1778.98,866.688,0,0.0264905,-0.0286154,-0.0189417
25,1780.77,866.757,0,0.0258064,-0.0305696,-0.0178094
26,1781.18,866.671,0,0.0255002,-0.0307324,-0.0173887
27,1781.28,866.651,0,0.0254871,-0.0307565,-0.0173936
28,1781.42,866.673,0,0.0255078,-0.0308385,-0.0173981
29,1781.72,866.786,0,0.0266532,-0.0307067,-0.0164486
30,1781.84,866.667,0,0.0268219,-0.0306305,-0.0166911
31,1782.06,866.719,0,0.0268708,-0.0306585,-0.0166904
32,1784,866.847,0,0.0255932,-0.0299722,-0.0153208
33,1784.47,866.715,0,0.0249357,-0.028605,-0.0144796
34,1784.65,866.676,0,0.0248775,-0.0283841,-0.014478
35,1785.56,866.825,0,0.0251333,-0.024268,-0.0153204
36,1785.86,866.792,0,0.0253521,-0.0213082,-0.0162657
37,1785.81,866.781,0,0.0253366,-0.0211445,-0.0162669
38,1785.91,866.775,0,0.0253198,-0.0210152,-0.0162687
39,1787.17,866.828,0,0.0251238,-0.0251368,-0.0137155
40,1787.44,866.747,0,0.0252715,-0.0265692,-0.0128063
41,1787.62,866.672,0,0.0250834,-0.0264742,-0.0128042
42,1787.93,866.655,0,0.0250241,-0.0265344,-0.0127984
43,1787.98,866.51,0,0.0244627,-0.02738,-0.0128305
44,1788.01,866.508,0,0.0244527,-0.027902,-0.0128386
45,1789.99,866.75,0,0.026549,-0.0260708,-0.0184379
46,1790.26,866.791,0,0.0275377,-0.0245785,-0.020738
47,1790.39,866.744,0,0.0273547,-0.0248982,-0.0207635
48,1790.51,866.681,0,0.0270541,-0.0255282,-0.0208006
49,1792.18,866.915,0,0.0282228,-0.0236418,-0.0199678
50,1792.42,866.861,0,0.0283907,-0.0232596,-0.0210975
51,1792.52,866.89,0,0.028546,-0.0229809,-0.0211103
52,1793.25,866.947,0,0.0287007,-0.0234567,-0.022583
53,1793.39,866.841,0,0.0286016,-0.0228109,-0.0248513
54,1793.52,866.883,0,0.0288323,-0.0227201,-0.0248733
55,1793.62,866.893,0,0.0289123,-0.0229638,-0.0249142
56,1794.45,867.006,0,0.029836,-0.0286467,-0.019579
57,1794.62,866.901,0,0.0300981,-0.0311301,-0.017647
58,1794.88,866.912,0,0.0301527,-0.0312667,-0.0176502
59,1795.29,866.877,0,0.029825,-0.0324883,-0.0176801
60,1795.52,866.665,0,0.0276843,-0.0346955,-0.0177785
61,1795.9,866.669,0,0.0277055,-0.0327674,-0.0177452
62,1797.38,866.308,0,-0.0242567,-0.0335374,-0.0164952
63,1798.03,866.398,0,-0.0204914,-0.0537193,-0.0166355
64,1798.49,866.557,0,0.0482293,0.00347944,-0.0165694
65,1799.02,866.979,0,0.0762806,0.00372313,-0.0162895
66,1799.11,866.915,0,0.0557868,-0.0204454,-0.0189506
67,1799.38,866.931,0,0.0581977,-0.0335286,-0.0193738
68,1799.91,866.932,0,0.0581242,-0.0492163,-0.0199344
69,1800.05,866.842,0,0.0442399,-0.0346773,-0.0195644
70,1801.29,866.972,0,0.0477758,-0.0187751,-0.0219175
71,1801.46,866.876,0,0.0398198,-0.0296611,-0.0224366
72,1801.03,866.965,0,0.0470892,-0.055468,-0.027244
73,1801.41,866.996,0,0.0493293,-0.0586659,-0.0273456
74,1804.21,866.759,0,0.0230046,-0.0113674,-0.0305953
75,1804.4,866.691,0,0.017227,0.00270821,-0.0302315
76,1804.78,866.692,0,0.0192611,-0.0104695,-0.0307852
77,1804.9,866.692,0,0.0259803,-0.0129059,-0.0310192
78,1804.28,866.987,0,0.0570716,-0.0278266,-0.0324754
79,1804.79,867.021,0,0.0594206,-0.023493,-0.0324182
80,1805.09,866.971,0,0.0520424,-0.0441151,-0.033079
81,1804.41,867.078,0,0.061023,-0.0188743,-0.0291551
82,1804.84,867.155,0,0.0701867,-0.0162825,-0.029089
83,1806.19,867.1,0,0.0531586,-0.0187826,-0.0253172
84,1806.52,867.018,0,0.0481372,-0.0168261,-0.0254389
85,1806.98,866.833,0,0.0274794,-0.0638736,-0.0273851
86,1807.23,867.151,0,0.0628725,-0.027065,-0.023711
87,1807.55,867.224,0,0.0694143,-0.0317345,-0.0237699
88,1808.01,867.194,0,0.0562806,-0.0205437,-0.0201802
89,1808.47,867.186,0,0.0548675,-0.0122114,-0.0199895
90,1808.94,866.952,0,0.0246669,-0.0294128,-0.0206892
91,1809.86,867.223,0,0.055194,-0.0218728,-0.0176426
92,1810.24,867.222,0,0.0555972,-0.0178051,-0.0175755
93,1810.77,867.109,0,0.0423473,-0.0286164,-0.0180876
94,1811.04,867.284,0,0.0618072,-0.0234319,-0.0134512
95,1811.38,867.425,0,0.0783562,-0.0191371,-0.0131699
96,1811.91,867.424,0,0.0719673,-0.0103194,-0.0128512
97,1812.14,867.466,0,0.0754233,-0.0450008,-0.0136581
98,1811.46,867.36,0,0.0595914,-0.024985,-0.00924847
99,1811.85,867.263,0,0.0480326,-0.021116,-0.00928398
100,1811.94,867.154,0,0.0403193,-0.0252029,-0.0108366
101,1812.31,867.139,0,0.0399155,-0.0311035,-0.0110375
102,1812.68,867.32,0,0.0589526,-0.0317164,-0.0165746
103,1813.22,867.303,0,0.0571496,-0.0355932,-0.0167537
104,1815.26,867.332,0,0.0553084,-0.00960246,-0.0123387
105,1815.46,867.459,0,0.068136,-0.0234699,-0.0127031
106,1816.74,867.569,0,0.0680831,-0.0214759,-0.0146307
107,1816.95,867.505,0,0.0612679,-0.0210969,-0.0146917
108,1817.26,867.44,0,0.0530451,0.0115859,-0.013993
109,1817.46,867.565,0,0.0628756,-0.0119119,-0.0098317
110,1817.82,867.43,0,0.0481806,-0.00682334,-0.00994685
111,1816.71,867.431,0,0.0515032,-0.0159573,-0.00937722
112,1817.16,867.434,0,0.0503589,-0.0215057,-0.00949347
113,1817.79,867.335,0,0.0389679,-0.023308,-0.00979097
114,1818.41,867.638,0,0.0675216,-0.0272056,-0.0155674
115,1818.77,867.635,0,0.0651321,-0.0500609,-0.0162677
116,1819.47,867.607,0,0.0599107,-0.0643456,-0.0168499
117,1820.34,867.686,0,0.0696308,0.00476047,-0.0143011
118,1821.18,867.563,0,0.0488477,-0.00517103,-0.0149574
119,1822.02,867.189,0,-0.0157575,-0.0290915,-0.0166278
120,1822.06,867.666,0,0.0534207,-0.0142505,-0.00872609
121,1822.4,867.67,0,0.0530369,-0.019853,-0.00878764
122,1822.84,867.565,0,0.0389569,-0.0511802,-0.00957991
123,1823.36,867.722,0,0.0660696,-0.0701546,-0.0097192
124,1824.09,867.76,0,0.0520311,-0.0174352,-0.00525964
125,1824.36,867.807,0,0.0585083,-0.0130347,-0.00493205
126,1824.98,867.77,0,0.0417206,-0.0240821,-0.00567509
127,1825.26,867.721,0,0.0354821,-0.0358348,-0.00603636
128,1825.73,867.721,0,0.0347734,-0.0505914,-0.00625325
129,1825.38,867.717,0,0.0305923,-0.0194313,-0.00563915
130,1825.65,867.639,0,0.0211826,-0.0169857,-0.00566701
131,1826.12,867.77,0,0.0358283,-0.0143454,-0.00469603
132,1826.25,867.687,0,0.0266596,-0.0173336,-0.00484969
133,1826.8,867.699,0,0.0260944,-0.0137731,-0.00470546
134,1827.24,867.503,0,0.00293698,0.00467819,-0.00480029
135,1827.85,867.37,0,-0.0150195,-0.0256957,-0.00583134
136,1826.02,867.732,0,0.0345991,-0.00764659,-0.00139757
137,1826.59,867.735,0,0.0347021,-0.0117128,-0.00137609
138,1829.84,867.792,0,0.0352135,-0.016315,-0.00350379
139,1830.08,867.619,0,0.0179798,-0.023119,-0.00394993
140,1829.5,867.775,0,0.0327581,-0.0252672,-0.00107075
141,1829.5,867.773,0,0.032958,-0.0252669,-0.0010723
142,1829.87,867.727,0,0.0288496,-0.011249,-0.00047802
143,1830.75,867.671,0,0.0222463,0.00947304,0.000227756
144,1831.87,867.722,0,0.0233155,-0.0150215,-0.000224331
145,1832.12,867.72,0,0.0234252,-0.0166721,-0.000201674
146,1832.51,867.559,0,0.00828985,-0.0251922,-0.000847504
147,1834.3,867.746,0,0.0298349,-0.0229316,-0.00240704
148,1834.61,867.691,0,0.0238496,-0.0317552,-0.00266731
149,1833.84,867.797,0,0.0298367,-0.01632,-0.00274813
150,1834.2,867.781,0,0.0283071,-0.0133356,-0.0026483
151,1834.65,867.728,0,0.0225572,-0.03275,-0.00319501
152,1834.98,867.502,0,-0.00692739,-0.0447527,-0.0040365
153,1835.89,867.781,0,0.0233407,-0.0115454,-0.00478034
154,1836.15,867.918,0,0.0381553,-0.0134318,-0.00439858
155,1836.57,867.93,0,0.0397576,-0.012682,-0.00435764
156,1837.24,867.708,0,0.0118766,-0.0185034,-0.00447989
157,1837.51,867.717,0,0.0153174,-0.0364476,-0.00507292
158,1838.87,867.778,0,0.0200883,-0.0256865,-0.00396359
159,1838.92,867.744,0,0.0184208,-0.0280373,-0.00410748
160,1839.19,867.557,0,0.000846449,-0.0480825,-0.00517402
161,1839.48,867.528,0,0.00457612,-0.0231201,-0.0053476
162,1839.93,867.554,0,0.00854896,-0.0245915,-0.00521821
163,1840.78,867.786,0,0.0283777,-0.0293418,-0.00588002
164,1840.94,867.824,0,0.0314869,-0.0325791,-0.0057544
165,1841.28,867.826,0,0.0322885,-0.0505381,-0.00615625
166,1841.67,867.777,0,0.0266619,-0.0271217,-0.00564386
167,1842.08,867.609,0,0.00408719,-0.016348,-0.00599853
168,1842.6,867.079,0,-0.077194,-0.0885662,-0.0106164
169,1840.08,867.8,0,0.0221005,-0.0358105,-0.00793591
170,1840.58,867.826,0,0.0257362,-0.0487144,-0.00813933
171,1841.41,867.761,0,0.0166768,-0.0540126,-0.00838086
172,1842.49,867.717,0,0.00969047,-0.022904,-0.00770952
173,1842.96,867.536,0,-0.0200747,-0.0627101,-0.00897104
174,1843.65,867.532,0,-0.0184455,-0.075264,-0.00902506
175,1844.34,867.577,0,-0.00774155,-0.0897153,-0.00890462
176,1845.16,867.94,0,0.0635494,-0.0413922,-0.0068129
177,1845.89,867.71,0,0.0159929,0.018505,-0.00636284
178,1845.81,867.811,0,0.0219875,-0.0177851,-0.0115861
179,1846.05,867.844,0,0.0274524,-0.0150789,-0.0113943
180,1846.83,867.565,0,-0.0122931,-0.0283667,-0.0131187
181,1847.31,867.5,0,-0.022158,-0.0476274,-0.0136894
182,1848.01,867.829,0,0.0238835,-0.0414785,-0.0175532
183,1848.25,867.754,0,0.0136947,-0.0518155,-0.0178555
184,1848.63,867.791,0,0.0189057,-0.0654697,-0.0178522
185,1849.08,867.716,0,0.00731255,-0.0760249,-0.0182282
186,1849.46,868.016,0,0.0563352,-0.074582,-0.0173944
187,1850.15,867.901,0,0.0340492,-0.0314103,-0.0174028
188,1850.53,867.766,0,0.00964729,0.053103,-0.0169319
189,1851.12,867.693,0,-0.00292064,-0.125351,-0.0195692
190,1851.67,867.735,0,0.00418334,-0.132511,-0.0194978
191,1850.63,868.071,0,0.0533681,-0.0152046,-0.00807221
192,1850.96,867.989,0,0.0413885,-0.00655738,-0.00828319
193,1851.52,867.817,0,0.0148007,-0.00466931,-0.00901058
194,1852.14,867.843,0,0.0204158,-0.017795,-0.0141327
195,1852.57,867.876,0,0.0256208,-0.00708064,-0.0137699
196,1853.02,867.803,0,0.0183889,0.00375961,-0.013895
197,1853.55,867.688,0,0.0040067,-0.0080239,-0.014823
198,1854.08,867.833,0,0.0268771,0.0249593,-0.0133539
199,1855.61,867.974,0,0.0402821,-0.0412317,-0.0153468
200,1855.81,867.915,0,0.0333635,-0.0531296,-0.0158227
201,1856.07,867.876,0,0.0291591,-0.0607933,-0.0161768
202,1856.51,867.83,0,0.02468,-0.0549498,-0.0164022
203,1857.38,868.068,0,0.051849,-0.029048,-0.0178714
204,1857.69,868.065,0,0.05283,-0.0368223,-0.0182039
205,1858,867.889,0,0.0325805,-0.0448019,-0.0191703
206,1856.09,867.936,0,0.0471264,-0.0224125,-0.0195128
207,1856.51,867.909,0,0.0448367,-0.0203614,-0.0196251
208,1857.67,867.987,0,0.0495004,-0.022334,-0.0213374
209,1858,868.118,0,0.06031,-0.0212817,-0.021108
210,1857.63,869.275,0,0.144136,-0.0184148,-0.0124351
211,1857.63,869.388,0,0.130075,-0.0202657,-0.0104531
212,1858.03,869.247,0,0.118387,-0.0283623,-0.0110403
213,1858.41,868.987,0,0.0954271,-0.0410687,-0.0121643
214,1859.64,868.375,0,0.0376196,-0.0205708,-0.0151028
215,1859.95,868.412,0,0.0405957,-0.0194583,-0.0150728
216,1860.38,868.155,0,0.0132675,-0.0235265,-0.015549
217,1860.75,867.986,0,-0.00430974,-0.0281905,-0.0159619
218,1861.09,867.856,0,-0.0161761,-0.0224293,-0.0161262
219,1861.62,867.912,0,-0.00512057,-0.0298895,-0.0162213
220,1862.68,867.96,0,0.0255336,-0.00964963,-0.0232275
221,1862.97,867.916,0,0.0218657,-0.00616172,-0.0232508
222,1863.29,867.816,0,0.0114132,-0.0189969,-0.0238466
223,1863.53,867.691,0,-0.00284045,-0.00193643,-0.0237526
224,1863.85,867.825,0,0.0195901,0.0335853,-0.0224546
225,1864.05,867.678,0,-4.15571E-05,0.0224587,-0.0233842
226,1862.75,868.261,0,0.0864777,0.00720829,-0.0217539
227,1863.18,868.333,0,0.0923669,0.0123652,-0.0215575
228,1863.01,868.368,0,0.0942237,-0.00525967,-0.0266983
229,1863.35,868.374,0,0.0929785,-0.0118318,-0.0269091
230,1863.77,868.216,0,0.0745392,-0.0211162,-0.027601
231,1864.35,868.262,0,0.0774708,-0.0207612,-0.0277119
232,1865.43,868.499,0,0.0857441,-0.0119839,-0.0268101
233,1865.82,868.497,0,0.0836029,-0.0130281,-0.0269512
234,1866.95,868.472,0,0.0686754,-0.0169011,-0.0227658
235,1867.07,868.479,0,0.0703893,-0.0159891,-0.0227956
236,1867.82,868.57,0,0.0733185,-0.021628,-0.0205665
237,1867.91,868.526,0,0.0702426,-0.0151731,-0.0204855
238,1868.13,868.41,0,0.0592751,0.00173509,-0.0203733
239,1868.53,868.372,0,0.0521964,-0.000673268,-0.0206579
240,1868.72,868.342,0,0.0445177,0.011118,-0.0206358
241,1868.05,868.679,0,0.0806924,-0.0177565,-0.0256475
242,1868.27,868.662,0,0.0779265,-0.0212134,-0.0258228
243,1868.76,868.889,0,0.100799,-0.0155264,-0.0252544
244,1870.01,868.749,0,0.0646969,-0.0151275,-0.0240263
245,1870.16,868.728,0,0.0615836,-0.0142882,-0.0240996
246,1870.8,868.74,0,0.0567388,-0.0353229,-0.019849
247,1870.97,868.609,0,0.0429119,-0.0305765,-0.0197642
248,1871.36,868.556,0,0.0346747,-0.0292924,-0.0197243
249,1872.05,868.826,0,0.0603752,-0.00360801,-0.0204273
250,1872.39,868.779,0,0.0539824,-0.00955407,-0.0205776
251,1872.68,868.79,0,0.0534183,-0.00128125,-0.0205698
252,1872.75,868.897,0,0.061633,-0.0026615,-0.0217239
253,1873,868.955,0,0.0679851,0.00217395,-0.0215755
254,1873.4,868.932,0,0.059695,-0.00516291,-0.0233677
255,1873.63,868.952,0,0.0613773,-0.00267727,-0.0233161
256,1874.16,868.908,0,0.0548291,-0.0147655,-0.0238737
257,1874.61,868.922,0,0.0550013,-0.0378862,-0.0245933
258,1874.78,869.235,0,0.0981127,-0.0626918,-0.02488
259,1874.89,868.862,0,0.0412365,-0.00519666,-0.0274503
260,1875.2,868.898,0,0.042153,-0.0217046,-0.0276892
261,1875.74,868.944,0,0.0468134,-0.0261158,-0.0278029
262,1876.38,868.826,0,0.0265033,-0.0436121,-0.0283927
263,1876.71,868.811,0,0.0231693,-0.0541069,-0.0286779
264,1877.13,868.766,0,0.0145747,-0.0460664,-0.0286241
265,1877.61,868.571,0,-0.0202592,0.0159477,-0.0275428
266,1878.3,868.553,0,-0.0217487,0.0337172,-0.0273765
267,1878.81,868.193,0,-0.0893502,0.0707167,-0.027624
268,1878.11,869.076,0,0.0646918,0.00626103,-0.0279971
269,1878.61,869.021,0,0.0548559,0.00809046,-0.0281688
270,1879.57,869.22,0,0.0602017,-0.00432159,-0.0246098
271,1879.89,869.2,0,0.0566839,0.00568857,-0.0244772
272,1880.44,869.099,0,0.0405855,-0.00114439,-0.0249794
273,1881.07,869.16,0,0.0337914,-0.00690234,-0.0254489
274,1881.45,869.156,0,0.0317645,-0.00724297,-0.0255111
275,1882.43,868.513,0,-0.0313681,-0.00905444,-0.0243735
276,1882.58,868.513,0,-0.0304696,-0.0119923,-0.024465
277,1883.22,868.632,0,-0.0129303,-0.0337274,-0.024744
278,1883.48,868.708,0,-0.00333188,-0.017126,-0.0243058
279,1884.11,868.396,0,-0.0493734,-0.00177145,-0.0245018
280,1884.31,868.872,0,0.0202069,0.00245959,-0.023555
281,1884.62,868.967,0,0.0320794,0.0112081,-0.0232169
282,1885.12,868.798,0,0.00945571,0.0027769,-0.0238788
283,1885.45,868.729,0,0.000809411,0.030511,-0.0233694
284,1886.02,869.009,0,0.0480048,-0.0325366,-0.0241285
285,1885.94,869.608,0,0.0961916,-0.00135141,-0.0136223
286,1886.13,869.581,0,0.0720137,-0.0123766,-0.0132622
287,1886.63,869.564,0,0.0681022,-0.0110528,-0.0132296
288,1886.15,869.877,0,0.0883469,0.00613235,-0.00808872
289,1886.3,869.749,0,0.0675786,0.00114737,-0.00895521
290,1886.75,869.692,0,0.0614233,-0.00612879,-0.00911829
291,1887.36,869.506,0,0.0411113,-0.0197606,-0.00958208
292,1888.11,869.245,0,0.00832907,-0.0128128,-0.00940171
293,1889.14,869.466,0,0.0349415,0.0206974,-0.00153256
294,1889.51,869.455,0,0.0340204,0.0161146,-0.0015501
295,1890.59,869.605,0,0.0446035,0.0208856,0.0054369
296,1890.91,869.553,0,0.0376111,0.0273546,0.00566032
297,1891.36,869.482,0,0.0260797,0.010422,0.0052117
298,1891.88,869.47,0,0.0205187,0.000587012,0.00514406
299,1892.23,868.861,0,-0.0681982,-0.0146171,0.00320145
300,1891.92,869.594,0,0.0423226,0.0173168,0.019371
301,1892.24,869.709,0,0.0540716,0.0112584,0.0196662
302,1892.7,869.856,0,0.0593788,0.0159214,0.0280123
303,1892.95,869.795,0,0.0515942,0.0209793,0.0282695
304,1893.86,869.824,0,0.0465737,0.0142243,0.0300858
305,1894.39,869.866,0,0.0479943,-0.00575481,0.0299318
306,1894.86,869.633,0,0.0181057,-0.0072091,0.0297759
307,1894.88,869.824,0,0.0367351,0.0121279,0.0351474
